AI-SOC V4 Python Legacy / Migration Inventory — 2026-08-11

Interpretation: existence of these files does NOT mean the current production entrypoints invoke Python. The Rust-first production gate separately checks Dockerfiles, Compose, systemd and Make runtime targets. This inventory records remaining migration debt and regression assets.

Summary:
  migrations: 18 files, 3808 LOC
src/aisoc/agent_core/auditd_collector.py	728 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/contracts.py	249 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/downloader.py	153 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/enrollment.py	49 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/file_tail.py	250 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/identity.py	747 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/installer.py	957 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/installer_pipeline.py	63 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/journald_collector.py	547 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/process.py	750 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/queue.py	1112 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/releases.py	639 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/runtime.py	644 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/service_log_collector.py	387 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/supervisor.py	537 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/suricata_collector.py	381 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/transport.py	163 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/__init__.py	32 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/evidence.py	88 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/evidence_verifier.py	293 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/gate.py	109 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/orchestrator.py	1078 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/prompting.py	167 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/providers/__init__.py	36 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/providers/base.py	35 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/providers/client.py	109 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/providers/openai_compatible.py	598 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/runtime.py	152 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ai_review/tool_gateway.py	666 LOC	legacy functional baseline (ai_review); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/__init__.py	5 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/__main__.py	20 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/app.py	230 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/auth.py	90 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/dependencies.py	65 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/error_handlers.py	105 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/__init__.py	1 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/agents.py	83 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/console.py	196 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/detections.py	58 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/events.py	91 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/freshness.py	128 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/health.py	44 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/hosts.py	37 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/incidents.py	342 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/malware.py	273 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/operators.py	69 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/responses.py	173 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/rules.py	67 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/tenants.py	36 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/routes/traces.py	110 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/api_server/tenant_tokens.py	15 LOC	legacy functional baseline (api_server); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/config/__init__.py	5 LOC	legacy functional baseline (config); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/config/settings.py	597 LOC	legacy functional baseline (config); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/credentials.py	60 LOC	legacy functional baseline (root); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/__init__.py	44 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/base.py	118 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/engine.py	68 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/governance.py	294 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/lifecycle.py	210 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/rule_registry.py	51 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/rules/__init__.py	3 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/rules/host_behavior.py	523 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/rules/ioc_match.py	100 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/rules/ssh_bruteforce.py	102 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/rules/web_recon_scan.py	162 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/rules/web_request_anomalies.py	202 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/detection_engine/worker.py	244 LOC	legacy functional baseline (detection_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/__init__.py	381 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/ai_review.py	663 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/console.py	1588 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/detection.py	118 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/identifiers.py	40 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/incident.py	401 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/malware.py	474 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/resources.py	144 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/response.py	569 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/rule_lifecycle.py	192 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/schema_export.py	166 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/security_event.py	153 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/domain/trace.py	449 LOC	legacy functional baseline (domain); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/enrich/__init__.py	14 LOC	legacy functional baseline (enrich); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/enrich/enrichment.py	120 LOC	legacy functional baseline (enrich); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/enrich/ioc.py	252 LOC	legacy functional baseline (enrich); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/errors.py	122 LOC	legacy functional baseline (root); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/incident_engine/__init__.py	31 LOC	legacy functional baseline (incident_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/incident_engine/correlator.py	811 LOC	legacy functional baseline (incident_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/incident_engine/lifecycle.py	382 LOC	legacy functional baseline (incident_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/incident_engine/worker.py	219 LOC	legacy functional baseline (incident_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ingest_gateway/__init__.py	15 LOC	legacy functional baseline (ingest_gateway); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ingest_gateway/__main__.py	31 LOC	legacy functional baseline (ingest_gateway); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/ingest_gateway/server.py	436 LOC	legacy functional baseline (ingest_gateway); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/__init__.py	30 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/__main__.py	105 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/clamav_scanner.py	230 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/orchestrator.py	366 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/sandbox.py	91 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/scanners.py	40 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/static.py	417 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/worker.py	139 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/malware_engine/yara_x_scanner.py	194 LOC	legacy functional baseline (malware_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/__init__.py	40 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/agent_normalizer.py	54 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/auditd_normalizer.py	482 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/base.py	116 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/falco_normalizer.py	228 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/journald_normalizer.py	206 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/normalizer_registry.py	51 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/service_log_normalizer.py	176 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/stub_normalizers.py	58 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/suricata_normalizer.py	221 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/watermark.py	62 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/normalize/worker.py	325 LOC	legacy functional baseline (normalize); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/notification_engine/__init__.py	23 LOC	legacy functional baseline (notification_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/notification_engine/__main__.py	56 LOC	legacy functional baseline (notification_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/notification_engine/webhook.py	365 LOC	legacy functional baseline (notification_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/notification_engine/worker.py	152 LOC	legacy functional baseline (notification_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/observability/__init__.py	6 LOC	legacy functional baseline (observability); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/observability/freshness.py	179 LOC	legacy functional baseline (observability); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/observability/logging.py	76 LOC	legacy functional baseline (observability); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/observability/metrics.py	23 LOC	legacy functional baseline (observability); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/platform/__init__.py	29 LOC	legacy functional baseline (platform); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/platform/__main__.py	41 LOC	legacy functional baseline (platform); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/platform/contracts.py	142 LOC	legacy functional baseline (platform); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/platform/linux.py	333 LOC	legacy functional baseline (platform); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/process/__init__.py	3 LOC	legacy functional baseline (process); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/process/__main__.py	103 LOC	legacy functional baseline (process); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/response_engine/__init__.py	55 LOC	legacy functional baseline (response_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/response_engine/__main__.py	76 LOC	legacy functional baseline (response_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/response_engine/adapters.py	305 LOC	legacy functional baseline (response_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/response_engine/native.py	1059 LOC	legacy functional baseline (response_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/response_engine/policy.py	250 LOC	legacy functional baseline (response_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/response_engine/runner.py	154 LOC	legacy functional baseline (response_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/response_engine/worker.py	148 LOC	legacy functional baseline (response_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/__init__.py	15 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/_safe_open.py	113 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/agent_identity.py	613 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/ai_review_repository.py	831 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/console_repository.py	2665 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/database.py	45 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/detection_repository.py	196 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/event_repository.py	288 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/incident_repository.py	877 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/malware_repository.py	716 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/models.py	3070 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/notification_repository.py	382 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/object_store.py	110 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/operator_repository.py	165 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/quarantine.py	184 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/repositories.py	239 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/response_repository.py	1110 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/rule_lifecycle_repository.py	517 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/storage/trace_repository.py	545 LOC	legacy functional baseline (storage); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/trace_engine/__init__.py	17 LOC	legacy functional baseline (trace_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/trace_engine/builder.py	1132 LOC	legacy functional baseline (trace_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/trace_engine/export.py	34 LOC	legacy functional baseline (trace_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/trace_engine/query.py	62 LOC	legacy functional baseline (trace_engine); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
tests/__init__.py	1 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/__init__.py	1 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/_helpers.py	281 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/conftest.py	8 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_agent_identity.py	266 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_ai_review_persistence.py	505 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_detection_persistence.py	214 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_freshness.py	347 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_incident_persistence.py	224 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_ingest_mtls.py	298 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_malware_persistence.py	210 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_notification_persistence.py	137 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_p1_api.py	118 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_pipeline_e2e.py	262 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_response_persistence.py	372 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_rule_lifecycle_persistence.py	263 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/integration/test_trace_persistence.py	262 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/replay/build_datasets.py	612 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/smoke/linux_agent_supervisor_smoke.py	406 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/smoke/linux_ingest_e2e_smoke.py	284 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/test_p0_baseline.py	100 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/__init__.py	1 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/__init__.py	1 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/_helpers.py	137 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/test_engine.py	98 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/test_host_behavior.py	397 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/test_ioc_match.py	50 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/test_rule_governance.py	67 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/test_rule_lifecycle.py	202 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/test_ssh_bruteforce.py	99 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/test_web_recon_scan.py	119 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/detection/test_web_request_anomalies.py	83 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/normalize/__init__.py	0 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/normalize/test_auditd_normalizer.py	298 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/normalize/test_falco_normalizer.py	124 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/normalize/test_normalize.py	678 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_artifact.py	94 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_contracts.py	125 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_identity.py	328 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_installer.py	718 LOC	legacy/regression test; retained to compare behavior during Rust migration
